,Ano,Mes,Dia,Antena,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
61,2019,03,02,2009,32.3,-115.02,29.36081,14.77612,29.36081,14.77612,20.21942,20.21942
62,2019,03,01,2011,32.35,-115.19,28.10901,12.57367,28.10901,12.57367,18.98087,18.98087
63,2019,03,02,2011,32.35,-115.19,28.90149,14.52173,28.90149,14.52173,20.03415,20.03415
64,2019,03,01,2012,28.3,-114.03,23.46844,12.39743,23.46844,12.39743,17.37378,17.37378
65,2019,03,02,2012,28.3,-114.03,23.14694,13.90402,23.14694,13.90402,17.04764,17.04764
66,2019,03,01,2014,31.59,-116.05,22.52115,9.23517,22.52115,9.23517,14.06857,14.06857
67,2019,03,02,2014,31.59,-116.05,17.31638,9.81616,17.31638,9.81616,13.05734,13.05734
68,2019,03,01,2015,28.03,-113.4,28.4834,11.6944,28.4834,11.6944,18.96609,18.96609
69,2019,03,02,2015,28.03,-113.4,26.42484,13.67621,26.42484,13.67621,18.52856,18.52856
70,2019,03,01,2017,32.33,-117.05,18.38541,12.18582,18.38541,12.18582,14.38391,14.38391
71,2019,03,02,2017,32.33,-117.05,16.27817,11.73032,16.27817,11.73032,13.754,13.754
72,2019,03,01,2022,30.06,-115.72,22.26578,12.23959,22.26578,12.23959,15.92456,15.92456
73,2019,03,02,2022,30.06,-115.72,21.16846,11.86423,21.16846,11.86423,15.73041,15.73041
74,2019,03,01,2023,30.32,-115.82,23.30682,12.14639,23.30682,12.14639,16.02216,16.02216
75,2019,03,02,2023,30.32,-115.82,20.40491,11.42218,20.40491,11.42218,15.4516,15.4516
76,2019,03,01,2025,31.86,-116.61,19.43719,10.97858,19.43719,10.97858,14.00793,14.00793
77,2019,03,02,2025,31.86,-116.61,16.19397,11.27264,16.19397,11.27264,13.556,13.556
78,2019,03,01,2029,30.97,-116.16,19.5069,12.41064,19.5069,12.41064,15.04108,15.04108
79,2019,03,02,2029,30.97,-116.16,18.76581,12.57608,18.76581,12.57608,15.02789,15.02789
80,2019,03,01,2032,30.58,-115.94,21.6756,12.59787,21.6756,12.59787,15.7659,15.7659
81,2019,03,02,2032,30.58,-115.94,19.4202,12.14185,19.4202,12.14185,15.36298,15.36298
82,2019,03,01,2035,31.91,-116.27,21.35022,7.71265,21.35022,7.71265,12.5506,12.5506
83,2019,03,02,2035,31.91,-116.27,15.3916,8.44101,15.3916,8.44101,11.44925,11.44925
