,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
8,1008,01/03/2019,22.2,-102.14,1008,-99.0,-99.0,Lerma Santiago,Sierra,27.71164,8.61972,-99.0,-99.0,17.14053,,,,,,0
9,1008,02/03/2019,22.2,-102.14,1008,-99.0,-99.0,Lerma Santiago,Sierra,28.16934,9.50174,-99.0,-99.0,18.25198,,,,,,0
44,1026,01/03/2019,22.22,-102.17,1026,-99.0,-99.0,Lerma Santiago,Sierra,27.69315,8.4776,-99.0,-99.0,17.09659,,,,,,0
45,1026,02/03/2019,22.22,-102.17,1026,-99.0,-99.0,Lerma Santiago,Sierra,28.16986,9.31339,-99.0,-99.0,18.11771,,,,,,0
50,1029,01/03/2019,22.24,-102.09,1029,-99.0,-99.0,El Salado,Sierra,27.68896,8.75171,-99.0,-99.0,17.18243,,,,,,0
51,1029,02/03/2019,22.24,-102.09,1029,-99.0,-99.0,El Salado,Sierra,28.21735,9.7644,-99.0,-99.0,18.45068,,,,,,0
100,1091,01/03/2019,21.74,-102.72,1091,-99.0,-99.0,Lerma Santiago,Sierra,28.86395,9.02423,-99.0,-99.0,18.16519,,,,,,0
101,1091,02/03/2019,21.74,-102.72,1091,-99.0,-99.0,Lerma Santiago,Sierra,29.29764,9.09241,-99.0,-99.0,18.57016,,,,,,0
122,2001,01/03/2019,32.11,-116.45,2001,-99.0,-99.0,B.C. Noroeste,Sierra,20.85495,8.60925,-99.0,-99.0,12.93161,,,,,,0
123,2001,02/03/2019,32.11,-116.45,2001,-99.0,-99.0,B.C. Noroeste,Sierra,15.70486,9.16345,-99.0,-99.0,12.00372,,,,,,0
124,2002,01/03/2019,28.6,-113.56,2002,-99.0,-99.0,B.C. Centro Este,Sierra,26.38074,11.31824,-99.0,-99.0,18.13007,,,,,,0
125,2002,02/03/2019,28.6,-113.56,2002,-99.0,-99.0,B.C. Centro Este,Sierra,26.42322,13.59369,-99.0,-99.0,17.98688,,,,,,0
130,2006,01/03/2019,29.49,-114.36,2006,-99.0,-99.0,B.C. Centro Este,Sierra,27.16632,12.21939,-99.0,-99.0,18.47394,,,,,,0
