,Ano,Mes,Dia,Antena,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
0,2019,03,01,1008,22.2,-102.14,27.71164,8.61972,27.71164,8.61972,17.14053,17.14053
1,2019,03,02,1008,22.2,-102.14,28.16934,9.50174,28.16934,9.50174,18.25198,18.25198
2,2019,03,01,1026,22.22,-102.17,27.69315,8.4776,27.69315,8.4776,17.09659,17.09659
3,2019,03,02,1026,22.22,-102.17,28.16986,9.31339,28.16986,9.31339,18.11771,18.11771
4,2019,03,01,1029,22.24,-102.09,27.68896,8.75171,27.68896,8.75171,17.18243,17.18243
5,2019,03,02,1029,22.24,-102.09,28.21735,9.7644,28.21735,9.7644,18.45068,18.45068
6,2019,03,01,1091,21.74,-102.72,28.86395,9.02423,28.86395,9.02423,18.16519,18.16519
7,2019,03,02,1091,21.74,-102.72,29.29764,9.09241,29.29764,9.09241,18.57016,18.57016
8,2019,03,01,2001,32.11,-116.45,20.85495,8.60925,20.85495,8.60925,12.93161,12.93161
9,2019,03,02,2001,32.11,-116.45,15.70486,9.16345,15.70486,9.16345,12.00372,12.00372
10,2019,03,01,2002,28.6,-113.56,26.38074,11.31824,26.38074,11.31824,18.13007,18.13007
11,2019,03,02,2002,28.6,-113.56,26.42322,13.59369,26.42322,13.59369,17.98688,17.98688
12,2019,03,01,2006,29.49,-114.36,27.16632,12.21939,27.16632,12.21939,18.47394,18.47394
13,2019,03,02,2006,29.49,-114.36,26.52048,13.99472,26.52048,13.99472,18.54044,18.54044
14,2019,03,01,2010,31.78,-115.77,26.84937,9.75177,26.84937,9.75177,16.34781,16.34781
15,2019,03,02,2010,31.78,-115.77,21.66794,11.0585,21.66794,11.0585,15.51086,15.51086
16,2019,03,01,2020,32.13,-115.28,28.29553,12.43726,28.29553,12.43726,18.92831,18.92831
17,2019,03,02,2020,32.13,-115.28,27.52512,13.71329,27.52512,13.71329,19.22055,19.22055
18,2019,03,01,2036,32.05,-116.68,19.35355,11.2955,19.35355,11.2955,14.15479,14.15479
19,2019,03,02,2036,32.05,-116.68,16.28745,11.41513,16.28745,11.41513,13.72748,13.72748
20,2019,03,01,2045,31.79,-116.46,20.53329,9.45071,20.53329,9.45071,13.38879,13.38879
21,2019,03,02,2045,31.79,-116.46,15.9165,9.88303,15.9165,9.88303,12.56927,12.56927
22,2019,03,01,2048,31.07,-115.58,24.44537,7.78058,24.44537,7.78058,14.00024,14.00024
23,2019,03,02,2048,31.07,-115.58,19.07303,8.7822,19.07303,8.7822,12.867,12.867
24,2019,03,01,2054,31.03,-115.98,21.25082,10.57343,21.25082,10.57343,14.50189,14.50189
25,2019,03,02,2054,31.03,-115.98,18.6684,10.95593,18.6684,10.95593,14.03195,14.03195
26,2019,03,01,2055,30.95,-116.1,19.84055,12.07166,19.84055,12.07166,14.94513,14.94513
27,2019,03,02,2055,30.95,-116.1,18.7489,12.27411,18.7489,12.27411,14.8421,14.8421
28,2019,03,01,2060,30.88,-115.63,24.40915,8.33313,24.40915,8.33313,14.12979,14.12979
29,2019,03,02,2060,30.88,-115.63,19.01044,8.67014,19.01044,8.67014,12.94894,12.94894
30,2019,03,01,2061,28.08,-113.09,29.25433,12.07272,29.25433,12.07272,19.48544,19.48544
31,2019,03,02,2061,28.08,-113.09,27.38821,14.12885,27.38821,14.12885,19.2872,19.2872
32,2019,03,01,2065,31.79,-116.41,20.86176,8.9877,20.86176,8.9877,13.19708,13.19708
33,2019,03,02,2065,31.79,-116.41,15.82489,9.46021,15.82489,9.46021,12.27411,12.27411
34,2019,03,01,2067,31.16,-115.72,24.24869,8.05029,24.24869,8.05029,14.10358,14.10358
