,Ano,Mes,Dia,Antena,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
61,2019,3,2,6054,19.29,-104.25,29.97113,18.95596,29.97113,18.95596,23.35156,23.35156
62,2019,3,1,6061,19.0,-103.88,29.61026,19.17383,29.61026,19.17383,23.52481,23.52481
63,2019,3,2,6061,19.0,-103.88,31.02756,20.42014,31.02756,20.42014,24.13635,24.13635
64,2019,3,1,6065,19.32,-103.94,29.83496,16.49329,29.83496,16.49329,21.98962,21.98962
65,2019,3,2,6065,19.32,-103.94,31.37921,16.89569,31.37921,16.89569,22.62701,22.62701
66,2019,3,1,6075,19.24,-103.97,29.66827,17.44012,29.66827,17.44012,22.48425,22.48425
67,2019,3,2,6075,19.24,-103.97,31.07535,18.04916,31.07535,18.04916,23.07812,23.07812
68,2019,3,1,7034,16.58,-92.72,30.10663,15.00607,30.10663,15.00607,22.33008,22.33008
69,2019,3,2,7034,16.58,-92.72,32.12805,14.58896,32.12805,14.58896,22.66876,22.66876
70,2019,3,1,7143,16.37,-93.8,32.23987,18.96201,32.23987,18.96201,24.61621,24.61621
71,2019,3,2,7143,16.37,-93.8,33.03027,19.58521,33.03027,19.58521,25.42584,25.42584
72,2019,3,1,7174,16.19,-93.26,32.5947,19.02496,32.5947,19.02496,25.15463,25.15463
73,2019,3,2,7174,16.19,-93.26,35.42438,19.07822,35.42438,19.07822,26.22327,26.22327
74,2019,3,1,7175,16.23,-93.26,32.74246,18.94293,32.74246,18.94293,25.2377,25.2377
75,2019,3,2,7175,16.23,-93.26,35.57013,19.0835,35.57013,19.0835,26.31628,26.31628
76,2019,3,1,7184,16.57,-92.72,30.15741,15.02365,30.15741,15.02365,22.36298,22.36298
77,2019,3,2,7184,16.57,-92.72,32.20071,14.59543,32.20071,14.59543,22.71008,22.71008
78,2019,3,1,7204,16.23,-93.27,32.73172,18.96378,32.73172,18.96378,25.23773,25.23773
79,2019,3,2,7204,16.23,-93.27,35.54285,19.10977,35.54285,19.10977,26.315,26.315
80,2019,3,1,7327,16.28,-93.42,32.62195,19.19534,32.62195,19.19534,25.20493,25.20493
