,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
68,1057,01/03/2019,21.87,-102.47,1057,-99.0,-99.0,Lerma Santiago,Valle,28.43909,8.39371,-99.0,-99.0,17.58813,,,,,,0
69,1057,02/03/2019,21.87,-102.47,1057,-99.0,-99.0,Lerma Santiago,Valle,28.71497,8.52615,-99.0,-99.0,18.04492,,,,,,0
82,1077,01/03/2019,21.78,-102.52,1077,-99.0,-99.0,Lerma Santiago,Valle,28.64551,8.77423,-99.0,-99.0,17.91016,,,,,,0
83,1077,02/03/2019,21.78,-102.52,1077,-99.0,-99.0,Lerma Santiago,Valle,28.95782,8.79303,-99.0,-99.0,18.37531,,,,,,0
88,1080,01/03/2019,21.84,-102.52,1080,-99.0,-99.0,Lerma Santiago,Valle,28.52032,8.5015,-99.0,-99.0,17.69934,,,,,,0
89,1080,02/03/2019,21.84,-102.52,1080,-99.0,-99.0,Lerma Santiago,Valle,28.8136,8.59256,-99.0,-99.0,18.14026,,,,,,0
144,2013,01/03/2019,30.67,-115.13,2013,-99.0,-99.0,B.C. Noreste,Valle,27.14795,11.46021,-99.0,-99.0,18.06796,,,,,,0
145,2013,02/03/2019,30.67,-115.13,2013,-99.0,-99.0,B.C. Noreste,Valle,24.70523,13.1203,-99.0,-99.0,17.54584,,,,,,0
188,2044,01/03/2019,28.74,-113.75,2044,-99.0,-99.0,B.C. Centro Oeste,Valle,27.12067,10.89749,-99.0,-99.0,18.25781,,,,,,0
189,2044,02/03/2019,28.74,-113.75,2044,-99.0,-99.0,B.C. Centro Oeste,Valle,27.07632,13.40192,-99.0,-99.0,18.14728,,,,,,0
214,2059,01/03/2019,31.08,-115.29,2059,-99.0,-99.0,B.C. Noreste,Valle,25.97168,9.89774,-99.0,-99.0,16.55267,,,,,,0
215,2059,02/03/2019,31.08,-115.29,2059,-99.0,-99.0,B.C. Noreste,Valle,22.68192,11.91107,-99.0,-99.0,16.16339,,,,,,0
228,2066,01/03/2019,32.0,-115.95,2066,-99.0,-99.0,B.C. Noroeste,Valle,24.89389,9.09076,-99.0,-99.0,14.97003,,,,,,0
229,2066,02/03/2019,32.0,-115.95,2066,-99.0,-99.0,B.C. Noroeste,Valle,19.3938,10.00497,-99.0,-99.0,14.05219,,,,,,0
232,2069,01/03/2019,32.37,-116.65,2069,-99.0,-99.0,B.C. Noroeste,Valle,19.72333,10.66882,-99.0,-99.0,13.80945,,,,,,0
233,2069,02/03/2019,32.37,-116.65,2069,-99.0,-99.0,B.C. Noroeste,Valle,16.30194,10.24133,-99.0,-99.0,12.84113,,,,,,0
234,2071,01/03/2019,31.36,-115.7,2071,-99.0,-99.0,B.C. Noroeste,Valle,25.32388,8.18243,-99.0,-99.0,14.78665,,,,,,0
235,2071,02/03/2019,31.36,-115.7,2071,-99.0,-99.0,B.C. Noroeste,Valle,19.70071,9.83102,-99.0,-99.0,13.73706,,,,,,0
238,2077,01/03/2019,32.1,-116.81,2077,-99.0,-99.0,B.C. Noroeste,Valle,18.88593,12.13583,-99.0,-99.0,14.52817,,,,,,0
239,2077,02/03/2019,32.1,-116.81,2077,-99.0,-99.0,B.C. Noroeste,Valle,16.49158,12.02118,-99.0,-99.0,14.19302,,,,,,0
254,2092,01/03/2019,31.33,-115.54,2092,-99.0,-99.0,B.C. Noreste,Valle,25.59662,8.31403,-99.0,-99.0,15.02612,,,,,,0
255,2092,02/03/2019,31.33,-115.54,2092,-99.0,-99.0,B.C. Noreste,Valle,20.2887,10.02173,-99.0,-99.0,14.05539,,,,,,0
264,2099,01/03/2019,30.78,-115.18,2099,-99.0,-99.0,B.C. Noreste,Valle,26.87933,11.10583,-99.0,-99.0,17.79132,,,,,,0
265,2099,02/03/2019,30.78,-115.18,2099,-99.0,-99.0,B.C. Noreste,Valle,24.28223,13.04211,-99.0,-99.0,17.42474,,,,,,0
286,2114,01/03/2019,32.24,-116.58,2114,-99.0,-99.0,B.C. Noroeste,Valle,20.08853,10.13165,-99.0,-99.0,13.61169,,,,,,0
287,2114,02/03/2019,32.24,-116.58,2114,-99.0,-99.0,B.C. Noroeste,Valle,16.17969,10.14548,-99.0,-99.0,12.78076,,,,,,0
306,2146,01/03/2019,31.04,-115.2,2146,-99.0,-99.0,B.C. Noreste,Valle,26.55545,10.68985,-99.0,-99.0,17.52899,,,,,,0
307,2146,02/03/2019,31.04,-115.2,2146,-99.0,-99.0,B.C. Noreste,Valle,24.02408,13.11752,-99.0,-99.0,17.42142,,,,,,0
764,5029,01/03/2019,25.07,-103.28,5029,-99.0,-99.0,Nazas Aguanaval,Valle,30.01294,11.44016,-99.0,-99.0,19.96793,,,,,,0
765,5029,02/03/2019,25.07,-103.28,5029,-99.0,-99.0,Nazas Aguanaval,Valle,32.92416,10.37036,-99.0,-99.0,20.65518,,,,,,0
