,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
2,1004,01/03/2019,22.0,-102.2,1004,-99.0,-99.0,Lerma Santiago,Llanura,27.94733,8.61169,-99.0,-99.0,17.2453,,,,,,0
3,1004,02/03/2019,22.0,-102.2,1004,-99.0,-99.0,Lerma Santiago,Llanura,28.2049,9.20483,-99.0,-99.0,18.13934,,,,,,0
6,1007,01/03/2019,21.96,-102.35,1007,-99.0,-99.0,Lerma Santiago,Llanura,28.22089,8.2475,-99.0,-99.0,17.34335,,,,,,0
7,1007,02/03/2019,21.96,-102.35,1007,-99.0,-99.0,Lerma Santiago,Llanura,28.47696,8.55161,-99.0,-99.0,17.89545,,,,,,0
18,1013,01/03/2019,22.31,-102.17,1013,-99.0,-99.0,Lerma Santiago,Llanura,27.5903,8.37244,-99.0,-99.0,17.04044,,,,,,0
19,1013,02/03/2019,22.31,-102.17,1013,-99.0,-99.0,Lerma Santiago,Llanura,28.19226,9.29031,-99.0,-99.0,18.08426,,,,,,0
20,1014,01/03/2019,22.17,-102.29,1014,-99.0,-99.0,Lerma Santiago,Llanura,27.78955,8.07394,-99.0,-99.0,17.02344,,,,,,0
21,1014,02/03/2019,22.17,-102.29,1014,-99.0,-99.0,Lerma Santiago,Llanura,28.17563,8.62183,-99.0,-99.0,17.67328,,,,,,0
22,1015,01/03/2019,21.92,-101.97,1015,-99.0,-99.0,Lerma Santiago,Llanura,27.642,9.40564,-99.0,-99.0,17.31281,,,,,,0
23,1015,02/03/2019,21.92,-101.97,1015,-99.0,-99.0,Lerma Santiago,Llanura,27.93088,10.26791,-99.0,-99.0,18.70374,,,,,,0
24,1016,01/03/2019,21.71,-102.28,1016,-99.0,-99.0,Lerma Santiago,Llanura,28.509,9.36191,-99.0,-99.0,18.05621,,,,,,0
25,1016,02/03/2019,21.71,-102.28,1016,-99.0,-99.0,Lerma Santiago,Llanura,28.84998,9.42514,-99.0,-99.0,18.80148,,,,,,0
36,1022,01/03/2019,21.75,-102.17,1022,-99.0,-99.0,Lerma Santiago,Llanura,28.11823,9.47174,-99.0,-99.0,17.78922,,,,,,0
37,1022,02/03/2019,21.75,-102.17,1022,-99.0,-99.0,Lerma Santiago,Llanura,28.45267,9.78555,-99.0,-99.0,18.81329,,,,,,0
40,1024,01/03/2019,21.78,-102.1,1024,-99.0,-99.0,Lerma Santiago,Llanura,27.89139,9.54401,-99.0,-99.0,17.62894,,,,,,0
41,1024,02/03/2019,21.78,-102.1,1024,-99.0,-99.0,Lerma Santiago,Llanura,28.21927,10.03522,-99.0,-99.0,18.83069,,,,,,0
42,1025,01/03/2019,22.08,-102.27,1025,-99.0,-99.0,Lerma Santiago,Llanura,27.92139,8.22211,-99.0,-99.0,17.12341,,,,,,0
43,1025,02/03/2019,22.08,-102.27,1025,-99.0,-99.0,Lerma Santiago,Llanura,28.22827,8.74612,-99.0,-99.0,17.82318,,,,,,0
48,1028,01/03/2019,22.1,-102.07,1028,-99.0,-99.0,Lerma Santiago,Llanura,27.7196,8.94162,-99.0,-99.0,17.20084,,,,,,0
49,1028,02/03/2019,22.1,-102.07,1028,-99.0,-99.0,Lerma Santiago,Llanura,28.07556,9.87936,-99.0,-99.0,18.46515,,,,,,0
52,1030,01/03/2019,21.9,-102.31,1030,-99.0,-99.0,Lerma Santiago,Llanura,28.23715,8.47845,-99.0,-99.0,17.44955,,,,,,0
53,1030,02/03/2019,21.9,-102.31,1030,-99.0,-99.0,Lerma Santiago,Llanura,28.50681,8.78494,-99.0,-99.0,18.07816,,,,,,0
54,1031,01/03/2019,22.02,-102.0,1031,-99.0,-99.0,Lerma Santiago,Llanura,27.66245,9.13406,-99.0,-99.0,17.20102,,,,,,0
55,1031,02/03/2019,22.02,-102.0,1031,-99.0,-99.0,Lerma Santiago,Llanura,27.96994,10.12613,-99.0,-99.0,18.56387,,,,,,0
56,1032,01/03/2019,22.04,-101.89,1032,-99.0,-99.0,Lerma Santiago,Llanura,27.61862,9.24231,-99.0,-99.0,17.20822,,,,,,0
57,1032,02/03/2019,22.04,-101.89,1032,-99.0,-99.0,Lerma Santiago,Llanura,27.94742,10.31152,-99.0,-99.0,18.66711,,,,,,0
58,1033,01/03/2019,21.9,-101.99,1033,-99.0,-99.0,Lerma Santiago,Llanura,27.6604,9.41635,-99.0,-99.0,17.3396,,,,,,0
59,1033,02/03/2019,21.9,-101.99,1033,-99.0,-99.0,Lerma Santiago,Llanura,27.95343,10.23953,-99.0,-99.0,18.71204,,,,,,0
62,1035,01/03/2019,21.91,-102.13,1035,-99.0,-99.0,Lerma Santiago,Llanura,27.85425,9.02582,-99.0,-99.0,17.34225,,,,,,0
63,1035,02/03/2019,21.91,-102.13,1035,-99.0,-99.0,Lerma Santiago,Llanura,28.13367,9.68518,-99.0,-99.0,18.44211,,,,,,0
70,1062,01/03/2019,21.8,-102.27,1062,-99.0,-99.0,Lerma Santiago,Llanura,28.31976,8.95856,-99.0,-99.0,17.72314,,,,,,0
71,1062,02/03/2019,21.8,-102.27,1062,-99.0,-99.0,Lerma Santiago,Llanura,28.62451,9.18884,-99.0,-99.0,18.46088,,,,,,0
72,1063,01/03/2019,21.73,-102.28,1063,-99.0,-99.0,Lerma Santiago,Llanura,28.47296,9.26645,-99.0,-99.0,17.98465,,,,,,0
73,1063,02/03/2019,21.73,-102.28,1063,-99.0,-99.0,Lerma Santiago,Llanura,28.80573,9.36273,-99.0,-99.0,18.72241,,,,,,0
78,1075,01/03/2019,21.76,-102.3,1075,-99.0,-99.0,Lerma Santiago,Llanura,28.4631,9.077,-99.0,-99.0,17.89273,,,,,,0
79,1075,02/03/2019,21.76,-102.3,1075,-99.0,-99.0,Lerma Santiago,Llanura,28.78201,9.19662,-99.0,-99.0,18.57657,,,,,,0
80,1076,01/03/2019,21.87,-102.35,1076,-99.0,-99.0,Lerma Santiago,Llanura,28.34265,8.50275,-99.0,-99.0,17.5498,,,,,,0
81,1076,02/03/2019,21.87,-102.35,1076,-99.0,-99.0,Lerma Santiago,Llanura,28.61951,8.72141,-99.0,-99.0,18.11407,,,,,,0
86,1079,01/03/2019,21.73,-102.27,1079,-99.0,-99.0,Lerma Santiago,Llanura,28.44717,9.2897,-99.0,-99.0,17.97449,,,,,,0
