,Unnamed: 0,Unnamed: 0.1,Ano,Mes,Dia,Antena,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,clase
0,0,0,2019,3,1,1008,22.2,-102.14,27.71164,8.61972,27.71164,8.61972,17.14053,17.14053,0
1,2,2,2019,3,1,1026,22.22,-102.17,27.69315,8.4776,27.69315,8.4776,17.09659,17.09659,0
2,4,4,2019,3,1,1029,22.24,-102.09,27.68896,8.75171,27.68896,8.75171,17.18243,17.18243,0
3,6,6,2019,3,1,1091,21.74,-102.72,28.86395,9.02423,28.86395,9.02423,18.16519,18.16519,0
4,8,8,2019,3,1,2001,32.11,-116.45,20.85495,8.60925,20.85495,8.60925,12.93161,12.93161,3
5,10,10,2019,3,1,2002,28.6,-113.56,26.38074,11.31824,26.38074,11.31824,18.13007,18.13007,3
6,12,12,2019,3,1,2006,29.49,-114.36,27.16632,12.21939,27.16632,12.21939,18.47394,18.47394,3
7,14,14,2019,3,1,2010,31.78,-115.77,26.84937,9.75177,26.84937,9.75177,16.34781,16.34781,3
8,16,16,2019,3,1,2020,32.13,-115.28,28.29553,12.43726,28.29553,12.43726,18.92831,18.92831,3
9,18,18,2019,3,1,2036,32.05,-116.68,19.35355,11.2955,19.35355,11.2955,14.15479,14.15479,3
10,20,20,2019,3,1,2045,31.79,-116.46,20.53329,9.45071,20.53329,9.45071,13.38879,13.38879,3
11,22,22,2019,3,1,2048,31.07,-115.58,24.44537,7.78058,24.44537,7.78058,14.00024,14.00024,3
12,24,24,2019,3,1,2054,31.03,-115.98,21.25082,10.57343,21.25082,10.57343,14.50189,14.50189,3
13,26,26,2019,3,1,2055,30.95,-116.1,19.84055,12.07166,19.84055,12.07166,14.94513,14.94513,3
14,28,28,2019,3,1,2060,30.88,-115.63,24.40915,8.33313,24.40915,8.33313,14.12979,14.12979,3
15,30,30,2019,3,1,2061,28.08,-113.09,29.25433,12.07272,29.25433,12.07272,19.48544,19.48544,2
16,32,32,2019,3,1,2065,31.79,-116.41,20.86176,8.9877,20.86176,8.9877,13.19708,13.19708,3
17,34,34,2019,3,1,2067,31.16,-115.72,24.24869,8.05029,24.24869,8.05029,14.10358,14.10358,3
18,36,36,2019,3,1,2096,31.27,-116.04,21.57437,10.33368,21.57437,10.33368,14.4458,14.4458,3
19,38,38,2019,3,1,2100,31.27,-115.77,24.55887,8.31647,24.55887,8.31647,14.47827,14.47827,3
20,40,40,2019,3,1,2105,30.97,-115.58,24.38882,7.96909,24.38882,7.96909,14.01651,14.01651,3
21,42,42,2019,3,1,2108,31.71,-116.67,18.32443,12.48807,18.32443,12.48807,14.64859,14.64859,3
22,44,44,2019,3,1,2109,28.67,-114.24,21.73996,13.06006,21.73996,13.06006,17.0365,17.0365,3
23,46,46,2019,3,1,2151,30.64,-114.75,25.06891,13.51721,25.06891,13.51721,18.40305,18.40305,3
24,48,48,2019,3,1,2153,31.62,-116.46,20.19135,10.53162,20.19135,10.53162,13.96936,13.96936,3
25,50,50,2019,3,1,3003,23.29,-109.44,26.04736,19.80096,26.04736,19.80096,22.64377,22.64377,2
26,52,52,2019,3,1,3007,23.33,-109.95,29.32318,17.43549,29.32318,17.43549,22.56015,22.56015,2
27,54,54,2019,3,1,3009,24.84,-111.13,33.81586,15.04663,33.81586,15.04663,23.01874,23.01874,2
28,56,56,2019,3,1,3018,23.8,-110.11,28.94373,16.96075,28.94373,16.96075,21.98322,21.98322,2
